TMP,HUM,C02,V_ST,Time,D_N
23.92,55.43,2,100%,Fri Oct 21 17:38:26 2022,420
23.92,55.57,2,100%,Fri Oct 21 17:38:36 2022,421
23.92,55.31,2,100%,Fri Oct 21 17:38:46 2022,422
23.95,55.19,2,100%,Fri Oct 21 17:38:56 2022,423
23.95,55.21,2,100%,Fri Oct 21 17:39:06 2022,424
23.93,55.17,2,100%,Fri Oct 21 17:39:17 2022,425
23.93,55.17,2,100%,Fri Oct 21 17:39:27 2022,426
23.93,54.97,2,100%,Fri Oct 21 17:39:37 2022,427
23.95,55.07,2,100%,Fri Oct 21 17:39:47 2022,428
23.95,55.36,2,100%,Fri Oct 21 17:39:57 2022,429
23.96,55.14,2,100%,Fri Oct 21 17:40:07 2022,430
23.96,55.19,2,100%,Fri Oct 21 17:40:17 2022,431
23.96,55.21,2,100%,Fri Oct 21 17:40:27 2022,432
23.95,55.04,2,100%,Fri Oct 21 17:40:37 2022,433
23.93,54.82,2,100%,Fri Oct 21 17:40:47 2022,434
23.95,54.65,2,100%,Fri Oct 21 17:40:57 2022,435
23.95,54.9,2,100%,Fri Oct 21 17:41:07 2022,436
23.93,55.21,2,100%,Fri Oct 21 17:41:17 2022,437
23.95,55.31,2,100%,Fri Oct 21 17:41:27 2022,438
23.93,55.17,2,100%,Fri Oct 21 17:41:37 2022,439
23.92,55.07,2,100%,Fri Oct 21 17:41:47 2022,440
23.93,55.24,2,100%,Fri Oct 21 17:41:57 2022,441
23.93,55.5,2,100%,Fri Oct 21 17:42:17 2022,442
23.93,55.36,2,100%,Fri Oct 21 17:42:27 2022,443
23.93,55.55,2,100%,Fri Oct 21 17:42:37 2022,444
23.93,55.02,2,100%,Fri Oct 21 17:42:48 2022,445
23.93,55.04,2,100%,Fri Oct 21 17:42:58 2022,446
23.92,54.95,2,100%,Fri Oct 21 17:43:08 2022,447
23.92,55.04,2,100%,Fri Oct 21 17:43:18 2022,448
23.92,55.04,2,100%,Fri Oct 21 17:43:28 2022,449
23.89,54.9,2,100%,Fri Oct 21 17:45:38 2022,450
23.89,54.99,2,100%,Fri Oct 21 17:45:48 2022,451
23.89,55.41,2,100%,Fri Oct 21 17:45:58 2022,452
23.89,55.04,2,100%,Fri Oct 21 17:46:08 2022,453
23.89,55.07,2,100%,Fri Oct 21 17:46:19 2022,454
23.89,55.14,2,100%,Fri Oct 21 17:46:29 2022,455
23.89,55.62,2,100%,Fri Oct 21 17:46:39 2022,456
23.9,55.46,2,100%,Fri Oct 21 17:46:49 2022,457
23.9,54.99,2,100%,Fri Oct 21 17:46:59 2022,458
23.9,54.95,2,100%,Fri Oct 21 17:47:09 2022,459
23.89,54.92,2,100%,Fri Oct 21 17:47:19 2022,460
23.92,55.34,2,100%,Fri Oct 21 17:47:29 2022,461
23.9,55.48,2,100%,Fri Oct 21 17:47:39 2022,462
23.92,55.65,2,100%,Fri Oct 21 17:47:49 2022,463
23.9,55.26,2,100%,Fri Oct 21 17:47:59 2022,464
23.9,55.26,2,100%,Fri Oct 21 17:48:09 2022,465
23.9,55.24,2,100%,Fri Oct 21 17:48:19 2022,466
23.92,54.87,2,100%,Fri Oct 21 17:48:29 2022,467
23.9,55.21,2,100%,Fri Oct 21 17:48:39 2022,468
23.9,55.26,2,100%,Fri Oct 21 17:48:49 2022,469
23.89,55.21,2,100%,Fri Oct 21 17:48:59 2022,470
23.88,55.07,2,100%,Fri Oct 21 17:49:09 2022,471
23.89,55.39,2,100%,Fri Oct 21 17:49:19 2022,472
23.89,55.39,2,100%,Fri Oct 21 17:49:29 2022,473
23.89,55.72,2,100%,Fri Oct 21 17:49:39 2022,474
23.92,55.12,2,100%,Fri Oct 21 17:52:50 2022,475
23.9,55.55,2,100%,Fri Oct 21 17:53:00 2022,476
23.92,55.65,2,100%,Fri Oct 21 17:53:10 2022,477
23.9,55.34,2,100%,Fri Oct 21 17:53:21 2022,478
23.89,55.46,2,100%,Fri Oct 21 17:53:31 2022,479
23.89,55.43,2,100%,Fri Oct 21 17:53:41 2022,480
23.9,55.62,2,100%,Fri Oct 21 17:53:51 2022,481
23.92,55.82,2,100%,Fri Oct 21 17:54:01 2022,482
23.9,55.55,2,100%,Fri Oct 21 17:54:11 2022,483
23.92,55.09,2,100%,Fri Oct 21 17:54:21 2022,484
23.93,55.04,2,100%,Fri Oct 21 17:54:31 2022,485
23.92,55.46,2,100%,Fri Oct 21 17:54:41 2022,486
23.92,55.34,2,100%,Fri Oct 21 17:54:51 2022,487
23.9,55.72,2,100%,Fri Oct 21 17:55:01 2022,488
23.9,55.26,2,100%,Fri Oct 21 17:55:11 2022,489
23.9,55.24,2,100%,Fri Oct 21 17:55:21 2022,490
23.85,54.32,2,100%,Fri Oct 21 17:55:31 2022,491
22.22,50.07,2,100%,Mon Oct 24 12:58:49 2022,492
22.23,49.29,2,100%,Mon Oct 24 12:58:59 2022,493
22.23,48.8,2,100%,Mon Oct 24 12:59:09 2022,494
22.25,48.68,2,100%,Mon Oct 24 12:59:19 2022,495
22.26,48.51,2,100%,Mon Oct 24 12:59:29 2022,496
22.32,48.39,2,100%,Mon Oct 24 12:59:39 2022,497
22.36,48.29,2,100%,Mon Oct 24 12:59:49 2022,498
22.4,48.1,2,100%,Mon Oct 24 12:59:59 2022,499
22.46,47.93,2,100%,Mon Oct 24 13:00:09 2022,500
22.5,47.73,2,100%,Mon Oct 24 13:00:19 2022,501
22.56,47.51,2,100%,Mon Oct 24 13:00:30 2022,502
22.61,47.36,2,100%,Mon Oct 24 13:00:39 2022,503
22.66,47.17,2,100%,Mon Oct 24 13:00:49 2022,504
22.73,47,2,100%,Mon Oct 24 13:01:00 2022,505
22.75,46.85,2,100%,Mon Oct 24 13:01:10 2022,506
22.8,46.97,2,100%,Mon Oct 24 13:01:20 2022,507
22.85,47.07,2,100%,Mon Oct 24 13:01:30 2022,508
22.89,46.8,2,100%,Mon Oct 24 13:01:40 2022,509
22.96,46.55,2,100%,Mon Oct 24 13:01:50 2022,510
23,46.31,2,100%,Mon Oct 24 13:02:00 2022,511
23.06,46.14,2,100%,Mon Oct 24 13:02:10 2022,512
23.09,45.97,2,100%,Mon Oct 24 13:02:20 2022,513
23.1,45.77,2,100%,Mon Oct 24 13:02:30 2022,514
23.14,45.67,2,100%,Mon Oct 24 13:02:40 2022,515
23.17,45.55,2,100%,Mon Oct 24 13:02:50 2022,516
23.21,45.42,2,100%,Mon Oct 24 13:03:00 2022,517
23.27,45.35,2,100%,Mon Oct 24 13:03:10 2022,518
23.28,45.2,2,100%,Mon Oct 24 13:03:20 2022,519
23.3,45.08,2,100%,Mon Oct 24 13:03:30 2022,520
23.31,45.03,2,100%,Mon Oct 24 13:03:40 2022,521
23.35,44.96,2,100%,Mon Oct 24 13:03:50 2022,522
23.38,44.89,2,100%,Mon Oct 24 13:04:00 2022,523
23.4,44.79,2,100%,Mon Oct 24 13:04:10 2022,524
23.45,44.74,2,100%,Mon Oct 24 13:04:20 2022,525
23.5,44.59,2,100%,Mon Oct 24 13:04:31 2022,526
23.51,44.46,2,100%,Mon Oct 24 13:04:41 2022,527
23.54,44.37,2,100%,Mon Oct 24 13:04:51 2022,528
23.58,44.27,2,100%,Mon Oct 24 13:05:01 2022,529
23.61,44.17,2,100%,Mon Oct 24 13:05:11 2022,530
23.64,44.07,2,100%,Mon Oct 24 13:05:21 2022,531
23.66,44.03,2,100%,Mon Oct 24 13:05:31 2022,532
23.68,43.93,2,100%,Mon Oct 24 13:05:41 2022,533
23.68,43.88,2,100%,Mon Oct 24 13:05:51 2022,534
23.66,43.83,2,100%,Mon Oct 24 13:06:01 2022,535
23.65,43.83,2,100%,Mon Oct 24 13:06:11 2022,536
23.68,43.83,2,100%,Mon Oct 24 13:06:21 2022,537
23.69,43.83,2,100%,Mon Oct 24 13:06:31 2022,538
23.71,43.81,2,100%,Mon Oct 24 13:06:41 2022,539
29.25,32.84,2,100%,Tue Oct 25 17:33:00 2022,540
29.28,32.84,2,100%,Tue Oct 25 17:33:11 2022,541
29.31,32.81,2,100%,Tue Oct 25 17:33:21 2022,542
29.35,32.81,2,100%,Tue Oct 25 17:33:30 2022,543
29.38,32.78,2,100%,Tue Oct 25 17:33:40 2022,544
29.39,32.76,2,100%,Tue Oct 25 17:33:51 2022,545
29.43,32.71,2,100%,Tue Oct 25 17:34:00 2022,546
29.46,32.68,2,100%,Tue Oct 25 17:34:11 2022,547
29.48,32.66,2,100%,Tue Oct 25 17:34:21 2022,548
29.5,32.63,2,100%,Tue Oct 25 17:34:31 2022,549
29.55,32.61,2,100%,Tue Oct 25 17:34:41 2022,550
29.59,32.56,2,100%,Tue Oct 25 17:34:51 2022,551
29.63,32.54,2,100%,Tue Oct 25 17:35:01 2022,552
29.67,32.51,2,100%,Tue Oct 25 17:35:11 2022,553
29.71,32.51,2,100%,Tue Oct 25 17:35:21 2022,554
29.71,32.51,2,100%,Tue Oct 25 17:35:31 2022,555
29.74,32.51,2,100%,Tue Oct 25 17:35:41 2022,556
29.77,32.48,2,100%,Tue Oct 25 17:35:51 2022,557
29.8,32.46,2,100%,Tue Oct 25 17:36:02 2022,558
29.83,32.43,2,100%,Tue Oct 25 17:36:11 2022,559
29.84,32.43,2,100%,Tue Oct 25 17:36:21 2022,560
29.9,32.41,2,100%,Tue Oct 25 17:36:32 2022,561
29.9,32.41,2,100%,Tue Oct 25 17:36:41 2022,562
29.92,32.41,2,100%,Tue Oct 25 17:36:51 2022,563
29.94,32.36,2,100%,Tue Oct 25 17:37:02 2022,564
29.98,32.34,2,100%,Tue Oct 25 17:37:12 2022,565
30.02,32.31,2,100%,Tue Oct 25 17:37:22 2022,566
30.05,32.24,2,100%,Tue Oct 25 17:37:32 2022,567
30.06,32.21,2,100%,Tue Oct 25 17:37:42 2022,568
30.09,32.16,2,100%,Tue Oct 25 17:37:52 2022,569
30.1,32.13,2,100%,Tue Oct 25 17:38:02 2022,570
30.15,32.09,2,100%,Tue Oct 25 17:38:12 2022,571
30.17,32.06,2,100%,Tue Oct 25 17:38:22 2022,572
30.17,32.06,2,100%,Tue Oct 25 17:38:32 2022,573
30.2,31.69,2,100%,Tue Oct 25 17:38:42 2022,574
30.22,30.96,2,100%,Tue Oct 25 17:38:52 2022,575
30.23,30.99,2,100%,Tue Oct 25 17:39:02 2022,576
30.26,31.09,2,100%,Tue Oct 25 17:39:12 2022,577
30.29,31.14,2,100%,Tue Oct 25 17:39:22 2022,578
30.3,31.16,2,100%,Tue Oct 25 17:39:33 2022,579
30.33,31.16,2,100%,Tue Oct 25 17:39:42 2022,580
30.34,31.19,2,100%,Tue Oct 25 17:39:52 2022,581
30.34,31.19,2,100%,Tue Oct 25 17:40:02 2022,582
30.39,31.16,2,100%,Tue Oct 25 17:40:13 2022,583
30.4,31.16,2,100%,Tue Oct 25 17:40:23 2022,584
30.41,31.14,2,100%,Tue Oct 25 17:40:33 2022,585
30.43,31.09,2,100%,Tue Oct 25 17:40:43 2022,586
30.43,31.09,2,100%,Tue Oct 25 17:40:53 2022,587
30.44,31.06,2,100%,Tue Oct 25 17:41:03 2022,588
30.44,31.04,2,100%,Tue Oct 25 17:41:13 2022,589
30.46,31.04,2,100%,Tue Oct 25 17:41:23 2022,590
30.46,31.01,2,100%,Tue Oct 25 17:41:33 2022,591
30.46,30.99,2,100%,Tue Oct 25 17:41:43 2022,592
30.47,30.96,2,100%,Tue Oct 25 17:41:53 2022,593
30.48,30.94,2,100%,Tue Oct 25 17:42:03 2022,594
30.48,30.91,2,100%,Tue Oct 25 17:42:13 2022,595
30.53,30.91,2,100%,Tue Oct 25 17:42:23 2022,596
30.53,30.89,2,100%,Tue Oct 25 17:42:34 2022,597
30.43,29.96,2,100%,Tue Oct 25 17:42:43 2022,598
30.46,29.64,2,100%,Tue Oct 25 17:42:53 2022,599
30.57,30.11,2,100%,Tue Oct 25 17:43:04 2022,600
30.64,30.29,2,100%,Tue Oct 25 17:43:14 2022,601
30.72,30.46,2,100%,Tue Oct 25 17:43:24 2022,602
30.81,30.57,2,100%,Tue Oct 25 17:43:34 2022,603
30.89,30.66,2,100%,Tue Oct 25 17:43:44 2022,604
30.96,30.74,2,100%,Tue Oct 25 17:43:54 2022,605
31.03,30.82,2,100%,Tue Oct 25 17:44:04 2022,606
31.09,30.84,2,100%,Tue Oct 25 17:44:14 2022,607
31.16,30.91,2,100%,Tue Oct 25 17:44:24 2022,608
31.22,30.96,2,100%,Tue Oct 25 17:44:34 2022,609
31.29,31.01,2,100%,Tue Oct 25 17:44:44 2022,610
31.3,31.04,2,100%,Tue Oct 25 17:44:54 2022,611
31.35,31.06,2,100%,Tue Oct 25 17:45:04 2022,612
31.37,31.09,2,100%,Tue Oct 25 17:45:14 2022,613
31.41,31.11,2,100%,Tue Oct 25 17:45:24 2022,614
31.44,31.11,2,100%,Tue Oct 25 17:45:34 2022,615
31.49,31.16,2,100%,Tue Oct 25 17:45:44 2022,616
31.54,31.16,2,100%,Tue Oct 25 17:45:54 2022,617
31.52,31.21,2,100%,Tue Oct 25 17:46:05 2022,618
31.59,31.26,2,100%,Tue Oct 25 17:46:15 2022,619
31.63,31.26,2,100%,Tue Oct 25 17:46:24 2022,620
31.68,31.26,2,100%,Tue Oct 25 17:46:35 2022,621
31.72,31.31,2,100%,Tue Oct 25 17:46:45 2022,622
31.76,31.33,2,100%,Tue Oct 25 17:46:55 2022,623
31.79,31.31,2,100%,Tue Oct 25 17:47:05 2022,624
31.83,31.33,2,100%,Tue Oct 25 17:47:15 2022,625
31.87,31.33,2,100%,Tue Oct 25 17:47:25 2022,626
31.9,31.33,2,100%,Tue Oct 25 17:47:35 2022,627
31.92,31.31,2,100%,Tue Oct 25 17:47:45 2022,628
31.96,31.31,2,100%,Tue Oct 25 17:47:55 2022,629
31.99,31.31,2,100%,Tue Oct 25 17:48:05 2022,630
32.01,31.31,2,100%,Tue Oct 25 17:48:15 2022,631
32.04,31.29,2,100%,Tue Oct 25 17:48:25 2022,632
32.08,31.31,2,100%,Tue Oct 25 17:48:35 2022,633
32.11,31.29,2,100%,Tue Oct 25 17:48:45 2022,634
32.14,31.29,2,100%,Tue Oct 25 17:48:55 2022,635
32.18,31.26,2,100%,Tue Oct 25 17:49:05 2022,636
32.21,31.26,2,100%,Tue Oct 25 17:49:15 2022,637
32.23,31.24,2,100%,Tue Oct 25 17:49:25 2022,638
32.23,31.24,2,100%,Tue Oct 25 17:49:36 2022,639
32.24,31.24,2,100%,Tue Oct 25 17:49:45 2022,640
32.27,31.24,2,100%,Tue Oct 25 17:49:56 2022,641
32.28,31.21,2,100%,Tue Oct 25 17:50:06 2022,642
32.31,31.21,2,100%,Tue Oct 25 17:50:16 2022,643
32.34,31.21,2,100%,Tue Oct 25 17:50:26 2022,644
32.35,31.21,2,100%,Tue Oct 25 17:50:36 2022,645
32.37,31.19,2,100%,Tue Oct 25 17:50:46 2022,646
32.38,31.19,2,100%,Tue Oct 25 17:50:56 2022,647
32.41,31.21,2,100%,Tue Oct 25 17:51:06 2022,648
32.41,31.16,2,100%,Tue Oct 25 17:51:16 2022,649
32.44,31.19,2,100%,Tue Oct 25 17:51:26 2022,650
32.44,31.16,2,100%,Tue Oct 25 17:51:36 2022,651
32.44,31.16,2,100%,Tue Oct 25 17:51:46 2022,652
32.46,31.29,2,100%,Tue Oct 25 17:51:56 2022,653
32.91,32.98,2,100%,Tue Oct 25 17:52:06 2022,654
33.04,32.81,2,100%,Tue Oct 25 17:52:16 2022,655
33.15,32.81,2,100%,Tue Oct 25 17:52:26 2022,656
33.22,32.78,2,100%,Tue Oct 25 17:52:36 2022,657
33.28,32.06,2,100%,Tue Oct 25 17:52:46 2022,658
33.32,31.58,2,100%,Tue Oct 25 17:52:56 2022,659
33.35,31.71,2,100%,Tue Oct 25 17:53:07 2022,660
33.39,31.83,2,100%,Tue Oct 25 17:53:17 2022,661
33.43,31.96,2,100%,Tue Oct 25 17:53:27 2022,662
33.46,32.06,2,100%,Tue Oct 25 17:53:37 2022,663
33.52,32.11,2,100%,Tue Oct 25 17:53:47 2022,664
33.53,32.16,2,100%,Tue Oct 25 17:53:57 2022,665
33.56,32.21,2,100%,Tue Oct 25 17:54:07 2022,666
33.59,32.26,2,100%,Tue Oct 25 17:54:17 2022,667
33.63,32.31,2,100%,Tue Oct 25 17:54:27 2022,668
33.64,32.31,2,100%,Tue Oct 25 17:54:37 2022,669
33.67,32.34,2,100%,Tue Oct 25 17:54:47 2022,670
33.69,32.36,2,100%,Tue Oct 25 17:54:57 2022,671
33.71,32.36,2,100%,Tue Oct 25 17:55:07 2022,672
33.76,32.41,2,100%,Tue Oct 25 17:55:17 2022,673
33.77,32.41,2,100%,Tue Oct 25 17:55:27 2022,674
33.8,32.41,2,100%,Tue Oct 25 17:55:37 2022,675
33.81,32.43,2,100%,Tue Oct 25 17:55:47 2022,676
33.83,32.43,2,100%,Tue Oct 25 17:55:57 2022,677
33.84,32.43,2,100%,Tue Oct 25 17:56:07 2022,678
33.85,32.48,2,100%,Tue Oct 25 17:56:18 2022,679
33.88,32.43,2,100%,Tue Oct 25 17:56:28 2022,680
33.9,32.48,2,100%,Tue Oct 25 17:56:38 2022,681
33.91,32.48,2,100%,Tue Oct 25 17:56:48 2022,682
33.94,32.48,2,100%,Tue Oct 25 17:56:58 2022,683
33.95,32.48,2,100%,Tue Oct 25 17:57:08 2022,684
33.97,32.51,2,100%,Tue Oct 25 17:57:18 2022,685
33.98,32.51,2,100%,Tue Oct 25 17:57:28 2022,686
34.01,32.54,2,100%,Tue Oct 25 17:57:38 2022,687
34.02,32.56,2,100%,Tue Oct 25 17:57:48 2022,688
34.04,32.59,2,100%,Tue Oct 25 17:57:58 2022,689
34.04,32.59,2,100%,Tue Oct 25 17:58:08 2022,690
34.05,32.59,2,100%,Tue Oct 25 17:58:18 2022,691
34.08,32.59,2,100%,Tue Oct 25 17:58:28 2022,692
34.08,32.59,2,100%,Tue Oct 25 17:58:38 2022,693
34.08,32.61,2,100%,Tue Oct 25 17:58:48 2022,694
34.09,32.61,2,100%,Tue Oct 25 17:59:00 2022,695
34.12,32.63,2,100%,Tue Oct 25 17:59:08 2022,696
34.12,32.63,2,100%,Tue Oct 25 17:59:18 2022,697
34.15,32.63,2,100%,Tue Oct 25 17:59:28 2022,698
34.15,32.63,2,100%,Tue Oct 25 17:59:39 2022,699
34.16,32.66,2,100%,Tue Oct 25 17:59:49 2022,700
34.17,32.66,2,100%,Tue Oct 25 17:59:59 2022,701
34.17,32.66,2,100%,Tue Oct 25 18:00:09 2022,702
34.19,32.61,2,100%,Tue Oct 25 18:00:19 2022,703
34.2,32.61,2,100%,Tue Oct 25 18:00:29 2022,704
34.2,32.61,2,100%,Tue Oct 25 18:00:39 2022,705
34.23,32.61,2,100%,Tue Oct 25 18:00:49 2022,706
34.23,32.59,2,100%,Tue Oct 25 18:00:59 2022,707
34.24,32.59,2,100%,Tue Oct 25 18:01:09 2022,708
34.26,32.59,2,100%,Tue Oct 25 18:01:19 2022,709
34.27,32.59,2,100%,Tue Oct 25 18:01:29 2022,710
34.27,32.59,2,100%,Tue Oct 25 18:01:39 2022,711
34.29,32.59,2,100%,Tue Oct 25 18:01:49 2022,712
34.29,32.59,2,100%,Tue Oct 25 18:01:59 2022,713
34.3,32.59,2,100%,Tue Oct 25 18:02:09 2022,714
34.3,32.59,2,100%,Tue Oct 25 18:02:19 2022,715
34.31,32.59,2,100%,Tue Oct 25 18:02:29 2022,716
34.33,32.59,2,100%,Tue Oct 25 18:02:40 2022,717
34.33,32.59,2,100%,Tue Oct 25 18:02:49 2022,718
34.33,32.59,2,100%,Tue Oct 25 18:02:59 2022,719
34.3,32.68,2,100%,Tue Oct 25 18:03:10 2022,720
34.29,32.76,2,100%,Tue Oct 25 18:03:20 2022,721
34.27,32.81,2,100%,Tue Oct 25 18:03:30 2022,722
34.27,32.86,2,100%,Tue Oct 25 18:03:40 2022,723
34.27,32.88,2,100%,Tue Oct 25 18:03:50 2022,724
34.29,32.86,2,100%,Tue Oct 25 18:04:00 2022,725
34.29,32.84,2,100%,Tue Oct 25 18:04:10 2022,726
34.29,32.86,2,100%,Tue Oct 25 18:04:20 2022,727
34.29,32.86,2,100%,Tue Oct 25 18:04:30 2022,728
34.29,32.91,2,100%,Tue Oct 25 18:04:40 2022,729
28.93,31.16,[680],100%,Tue Oct 25 18:26:33 2022,730
28.86,30.84,[679],100%,Tue Oct 25 18:26:43 2022,731
28.8,30.61,[682],100%,Tue Oct 25 18:26:53 2022,732
28.77,30.46,[693],100%,Tue Oct 25 18:27:03 2022,733
28.73,30.64,[704],100%,Tue Oct 25 18:27:13 2022,734
28.64,30.86,[713],100%,Tue Oct 25 18:27:23 2022,735
28.57,34.08,[721],100%,Tue Oct 25 18:27:33 2022,736
28.53,32.91,[743],100%,Tue Oct 25 18:27:44 2022,737
28.47,31.83,[775],100%,Tue Oct 25 18:27:54 2022,738
28.44,31.56,[820],100%,Tue Oct 25 18:28:04 2022,739
28.37,34.08,[861],100%,Tue Oct 25 18:28:14 2022,740
28.27,34.43,[887],100%,Tue Oct 25 18:28:24 2022,741
28.14,35.5,[897],100%,Tue Oct 25 18:28:34 2022,742
28.1,34.18,[898],100%,Tue Oct 25 18:28:44 2022,743
28.07,33.26,[899],100%,Tue Oct 25 18:28:55 2022,744
28.06,33.61,[898],100%,Tue Oct 25 18:29:05 2022,745
27.99,33.93,[866],100%,Tue Oct 25 18:29:15 2022,746
27.92,35.27,[845],100%,Tue Oct 25 18:29:25 2022,747
27.9,34.43,[824],100%,Tue Oct 25 18:29:35 2022,748
27.89,34.3,[806],100%,Tue Oct 25 18:29:45 2022,749
27.89,35,[789],100%,Tue Oct 25 18:29:55 2022,750
27.86,35.25,[780],100%,Tue Oct 25 18:30:06 2022,751
27.83,34.06,[770],100%,Tue Oct 25 18:30:16 2022,752
27.86,33.51,[761],100%,Tue Oct 25 18:30:26 2022,753
27.9,33.23,[755],100%,Tue Oct 25 18:30:36 2022,754
27.89,34.8,[751],100%,Tue Oct 25 18:30:46 2022,755
27.86,33.88,[749],100%,Tue Oct 25 18:30:56 2022,756
27.85,35.08,[749],100%,Tue Oct 25 18:31:07 2022,757
27.79,34.38,[747],100%,Tue Oct 25 18:31:17 2022,758
27.76,36.14,[743],100%,Tue Oct 25 18:31:27 2022,759
27.75,34.55,[747],100%,Tue Oct 25 18:31:37 2022,760
27.79,33.35,[749],100%,Tue Oct 25 18:31:47 2022,761
27.8,33.26,[751],100%,Tue Oct 25 18:31:57 2022,762
27.76,34.9,[758],100%,Tue Oct 25 18:32:07 2022,763
27.65,35.3,[759],100%,Tue Oct 25 18:32:18 2022,764
27.61,36.07,[759],100%,Tue Oct 25 18:32:28 2022,765
27.59,34.62,[762],100%,Tue Oct 25 18:32:38 2022,766
27.56,35.47,[763],100%,Tue Oct 25 18:32:48 2022,767
27.49,36.29,[768],100%,Tue Oct 25 18:32:58 2022,768
27.42,36.02,[768],100%,Tue Oct 25 18:33:08 2022,769
27.34,37.71,[768],100%,Tue Oct 25 18:33:18 2022,770
27.27,37.98,[770],100%,Tue Oct 25 18:33:29 2022,771
27.23,37.26,[772],100%,Tue Oct 25 18:33:39 2022,772
27.2,37.76,[772],100%,Tue Oct 25 18:33:49 2022,773
27.16,37.95,[780],100%,Tue Oct 25 18:33:59 2022,774
27.13,37.23,[792],100%,Tue Oct 25 18:34:09 2022,775
27.1,37.65,[800],100%,Tue Oct 25 18:34:20 2022,776
27.09,39.31,[816],100%,Tue Oct 25 18:34:30 2022,777
27.17,38.94,[830],100%,Tue Oct 25 18:34:40 2022,778
27.18,36.29,[854],100%,Tue Oct 25 18:34:50 2022,779
27.31,34.92,[888],100%,Tue Oct 25 18:35:00 2022,780
27.44,34.43,[934],100%,Tue Oct 25 18:35:10 2022,781
27.52,34.33,[954],100%,Tue Oct 25 18:35:20 2022,782
27.61,34.08,[970],100%,Tue Oct 25 18:35:30 2022,783
27.9,32.61,1476,100%,Tue Oct 25 18:39:06 2022,784
27.9,32.93,1304,100%,Tue Oct 25 18:39:16 2022,785
27.92,33.18,1174,100%,Tue Oct 25 18:39:32 2022,786
27.92,34.13,1136,100%,Tue Oct 25 18:39:36 2022,787
27.89,34.45,1136,100%,Tue Oct 25 18:39:47 2022,788
27.9,33.51,1252,100%,Tue Oct 25 18:39:57 2022,789
27.92,32.66,1512,100%,Tue Oct 25 18:40:07 2022,790
27.94,32.81,1557,100%,Tue Oct 25 18:40:17 2022,791
27.94,32.43,1558,100%,Tue Oct 25 18:40:27 2022,792
27.96,32.59,1371,100%,Tue Oct 25 18:40:37 2022,793
27.97,32.78,1177,100%,Tue Oct 25 18:40:47 2022,794
28,32.63,1115,100%,Tue Oct 25 18:40:57 2022,795
28.03,32.91,1017,100%,Tue Oct 25 18:41:08 2022,796
28.03,32.48,950,100%,Tue Oct 25 18:41:18 2022,797
28.03,32.26,897,100%,Tue Oct 25 18:41:28 2022,798
31.02,76.35,860,100%,Tue Oct 25 18:41:38 2022,799
29.87,44.17,851,100%,Tue Oct 25 18:41:48 2022,800
29.1,32.09,847,100%,Tue Oct 25 18:41:58 2022,801
28.76,31.33,831,100%,Tue Oct 25 18:42:08 2022,802
28.56,31.61,813,100%,Tue Oct 25 18:42:19 2022,803
28.48,32.04,795,100%,Tue Oct 25 18:42:29 2022,804
28.4,31.99,782,100%,Tue Oct 25 18:42:39 2022,805
28.35,32.09,768,100%,Tue Oct 25 18:42:49 2022,806
28.3,31.94,760,100%,Tue Oct 25 18:42:59 2022,807
28.27,33.35,764,100%,Tue Oct 25 18:43:09 2022,808
28.27,32.63,772,100%,Tue Oct 25 18:43:19 2022,809
28.27,33.11,772,100%,Tue Oct 25 18:43:29 2022,810
28.25,32.24,779,100%,Tue Oct 25 18:43:40 2022,811
28.24,33.26,786,100%,Tue Oct 25 18:43:50 2022,812
28.27,32.46,827,100%,Tue Oct 25 18:44:00 2022,813
28.27,32.61,859,100%,Tue Oct 25 18:44:10 2022,814
28.25,32.09,869,100%,Tue Oct 25 18:44:20 2022,815
28.25,32.11,870,100%,Tue Oct 25 18:44:30 2022,816
28.25,32.34,870,100%,Tue Oct 25 18:44:41 2022,817
28.27,32.34,867,100%,Tue Oct 25 18:44:51 2022,818
28.25,31.88,844,100%,Tue Oct 25 18:45:01 2022,819
28.27,31.74,815,100%,Tue Oct 25 18:45:11 2022,820
23.33,50.07,829,100%,Wed Oct 26 11:50:40 2022,821
23.35,49.9,827,100%,Wed Oct 26 11:50:50 2022,822
26.29,74.25,827,100%,Wed Oct 26 11:51:00 2022,823
27.54,100,847,100%,Wed Oct 26 11:51:10 2022,824
25.38,100,1015,100%,Wed Oct 26 11:51:20 2022,825
24.58,100,1317,100%,Wed Oct 26 11:51:30 2022,826
24.2,76.09,1377,100%,Wed Oct 26 11:51:41 2022,827
24,67.56,1386,100%,Wed Oct 26 11:51:51 2022,828
23.9,63.88,1393,100%,Wed Oct 26 11:52:01 2022,829
23.89,54.48,1398,100%,Wed Oct 26 11:52:11 2022,830
23.88,50.51,1301,100%,Wed Oct 26 11:52:21 2022,831
23.89,49.83,1223,100%,Wed Oct 26 11:52:31 2022,832
24.3,97.41,1191,100%,Wed Oct 26 11:52:41 2022,833
25.48,92.24,1196,100%,Wed Oct 26 11:52:52 2022,834
24.28,80.28,1234,100%,Wed Oct 26 11:53:02 2022,835
24.17,64.45,1399,100%,Wed Oct 26 11:53:12 2022,836
24.17,54.92,1468,100%,Wed Oct 26 11:53:22 2022,837
24.19,51.54,1491,100%,Wed Oct 26 11:53:32 2022,838
24.16,50.12,1495,100%,Wed Oct 26 11:53:42 2022,839
24.17,49.61,1468,100%,Wed Oct 26 11:53:52 2022,840
