TMP,HUM,C02,V_ST,Time,D_N
28.24,58.99,2,100%,Fri Oct 21 16:01:06 2022,97
28.25,58.85,2,100%,Fri Oct 21 16:01:16 2022,98
28.3,58.96,2,100%,Fri Oct 21 16:01:26 2022,99
28.33,58.94,2,100%,Fri Oct 21 16:01:37 2022,100
28.35,59.06,2,100%,Fri Oct 21 16:01:46 2022,101
28.38,59.04,2,100%,Fri Oct 21 16:01:56 2022,102
28.4,58.99,2,100%,Fri Oct 21 16:02:07 2022,103
28.42,59.06,2,100%,Fri Oct 21 16:02:16 2022,104
28.45,58.99,2,100%,Fri Oct 21 16:02:27 2022,105
28.48,58.99,2,100%,Fri Oct 21 16:02:37 2022,106
28.49,59.11,2,100%,Fri Oct 21 16:02:47 2022,107
28.53,59.01,2,100%,Fri Oct 21 16:02:57 2022,108
28.55,59.01,2,100%,Fri Oct 21 16:03:07 2022,109
28.56,58.96,2,100%,Fri Oct 21 16:03:17 2022,110
28.59,58.85,2,100%,Fri Oct 21 16:03:27 2022,111
28.6,58.65,2,100%,Fri Oct 21 16:03:37 2022,112
28.62,58.38,2,100%,Fri Oct 21 16:03:47 2022,113
28.63,58,2,100%,Fri Oct 21 16:03:57 2022,114
28.64,57.85,2,100%,Fri Oct 21 16:04:07 2022,115
28.64,57.85,2,100%,Fri Oct 21 16:04:17 2022,116
28.67,57.78,2,100%,Fri Oct 21 16:04:27 2022,117
28.67,57.69,2,100%,Fri Oct 21 16:04:37 2022,118
28.7,57.64,2,100%,Fri Oct 21 16:04:47 2022,119
28.72,57.59,2,100%,Fri Oct 21 16:04:57 2022,120
28.72,57.34,2,100%,Fri Oct 21 16:05:07 2022,121
28.73,57.27,2,100%,Fri Oct 21 16:05:18 2022,122
28.74,57.12,2,100%,Fri Oct 21 16:05:28 2022,123
28.74,56.98,2,100%,Fri Oct 21 16:05:38 2022,124
28.76,56.81,2,100%,Fri Oct 21 16:05:48 2022,125
28.76,56.62,2,100%,Fri Oct 21 16:05:58 2022,126
28.77,56.42,2,100%,Fri Oct 21 16:06:08 2022,127
28.77,56.31,2,100%,Fri Oct 21 16:06:18 2022,128
28.77,56.23,2,100%,Fri Oct 21 16:06:28 2022,129
28.77,56.14,2,100%,Fri Oct 21 16:06:38 2022,130
28.77,55.96,2,100%,Fri Oct 21 16:06:48 2022,131
28.79,55.87,2,100%,Fri Oct 21 16:06:58 2022,132
28.79,55.72,2,100%,Fri Oct 21 16:07:08 2022,133
28.79,55.7,2,100%,Fri Oct 21 16:07:18 2022,134
28.8,55.65,2,100%,Fri Oct 21 16:07:28 2022,135
28.81,55.62,2,100%,Fri Oct 21 16:07:38 2022,136
28.81,55.57,2,100%,Fri Oct 21 16:07:48 2022,137
28.81,54.9,2,100%,Fri Oct 21 16:07:58 2022,138
28.81,54.68,2,100%,Fri Oct 21 16:08:08 2022,139
28.81,54.68,2,100%,Fri Oct 21 16:08:19 2022,140
28.83,54.85,2,100%,Fri Oct 21 16:08:29 2022,141
28.8,54.24,2,100%,Fri Oct 21 16:08:39 2022,142
28.67,49.15,2,100%,Fri Oct 21 16:08:49 2022,143
28.4,45.15,2,100%,Fri Oct 21 16:08:59 2022,144
28.3,43.38,2,100%,Fri Oct 21 16:09:09 2022,145
28.17,42.74,2,100%,Fri Oct 21 16:09:19 2022,146
28,43.19,2,100%,Fri Oct 21 16:09:29 2022,147
27.9,43.53,2,100%,Fri Oct 21 16:09:39 2022,148
27.87,44.22,2,100%,Fri Oct 21 16:09:49 2022,149
27.92,44.27,2,100%,Fri Oct 21 16:09:59 2022,150
27.87,44.67,2,100%,Fri Oct 21 16:10:09 2022,151
27.9,44.71,2,100%,Fri Oct 21 16:10:19 2022,152
27.9,51.54,2,100%,Fri Oct 21 16:10:29 2022,153
27.96,52.39,2,100%,Fri Oct 21 16:10:39 2022,154
28.11,53.71,2,100%,Fri Oct 21 16:10:49 2022,155
28.1,56.16,2,100%,Fri Oct 21 16:10:59 2022,156
